date,variant
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-07,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-08,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-09,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,original
2021-04-10,delta
2021-04-10,original
2021-04-10,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-11,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-12,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-13,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
