age,start,end,duration
65,restaurant,restaurant,60
65,restaurant,outdoor,20
65,outdoor,outdoor,175
65,outdoor,house,175
66,house,workplace,495
66,workplace,outdoor,3
66,outdoor,outdoor,40
66,outdoor,outdoor,45
66,outdoor,workplace,120
66,workplace,outdoor,5
66,outdoor,outdoor,10
66,outdoor,outdoor,5
66,outdoor,outdoor,45
66,outdoor,outdoor,145
66,outdoor,outdoor,55
66,outdoor,outdoor,265
66,outdoor,house,265
67,house,workplace,40
67,workplace,restaurant,25
67,restaurant,outdoor,300
67,outdoor,restaurant,60
67,restaurant,restaurant,40
67,restaurant,workplace,270
67,workplace,restaurant,58
67,restaurant,restaurant,20
67,restaurant,outdoor,10
67,outdoor,restaurant,60
67,restaurant,restaurant,10
67,restaurant,outdoor,17
67,outdoor,house,17
68,house,workplace,225
68,workplace,restaurant,30
68,restaurant,grocery,30
68,grocery,grocery,45
68,grocery,outdoor,5
68,outdoor,outdoor,3
68,outdoor,outdoor,5
68,outdoor,outdoor,5
68,outdoor,outdoor,5
68,outdoor,restaurant,20
68,restaurant,outdoor,60
68,outdoor,outdoor,5
68,outdoor,outdoor,10
68,outdoor,grocery,12
68,grocery,restaurant,45
68,restaurant,restaurant,105
68,restaurant,grocery,20
68,grocery,outdoor,135
68,outdoor,restaurant,55
68,restaurant,outdoor,15
68,outdoor,restaurant,5
68,restaurant,restaurant,120
68,restaurant,house,120
69,house,workplace,426
69,workplace,grocery,30
69,grocery,restaurant,20
69,restaurant,workplace,150
69,workplace,outdoor,20
69,outdoor,restaurant,50
69,restaurant,grocery,5
69,grocery,outdoor,15
69,outdoor,outdoor,5
69,outdoor,restaurant,45
69,restaurant,restaurant,150
69,restaurant,outdoor,20
69,outdoor,outdoor,20
69,outdoor,outdoor,5
69,outdoor,restaurant,30
69,restaurant,workplace,15
69,workplace,house,15
70,house,outdoor,5
70,outdoor,outdoor,5
70,outdoor,outdoor,60
70,outdoor,workplace,237
70,workplace,restaurant,35
70,restaurant,outdoor,10
70,outdoor,outdoor,20
70,outdoor,outdoor,5
70,outdoor,outdoor,5
70,outdoor,outdoor,10
70,outdoor,outdoor,15
70,outdoor,grocery,30
70,grocery,outdoor,30
70,outdoor,outdoor,22
70,outdoor,outdoor,70
70,outdoor,restaurant,25
70,restaurant,grocery,30
70,grocery,restaurant,90
70,restaurant,outdoor,15
70,outdoor,restaurant,30
70,restaurant,outdoor,80
70,outdoor,house,80
71,house,outdoor,30
71,outdoor,outdoor,104
71,outdoor,outdoor,50
71,outdoor,restaurant,90
71,restaurant,outdoor,10
71,outdoor,workplace,327
71,workplace,outdoor,15
71,outdoor,restaurant,90
71,restaurant,outdoor,30
71,outdoor,outdoor,5
71,outdoor,restaurant,134
71,restaurant,outdoor,45
71,outdoor,restaurant,60
71,restaurant,house,60
72,house,outdoor,120
72,outdoor,restaurant,30
72,restaurant,grocery,30
72,grocery,grocery,45
72,grocery,outdoor,70
72,outdoor,outdoor,5
72,outdoor,restaurant,60
72,restaurant,restaurant,40
72,restaurant,outdoor,45
72,outdoor,grocery,30
72,grocery,outdoor,60
72,outdoor,restaurant,30
72,restaurant,outdoor,60
72,outdoor,outdoor,10
72,outdoor,outdoor,10
72,outdoor,outdoor,60
72,outdoor,restaurant,60
72,restaurant,outdoor,5
72,outdoor,house,5
73,house,workplace,390
73,workplace,restaurant,35
73,restaurant,restaurant,15
73,restaurant,grocery,20
73,grocery,outdoor,180
73,outdoor,workplace,105
73,workplace,outdoor,10
73,outdoor,restaurant,60
73,restaurant,outdoor,30
73,outdoor,outdoor,1
73,outdoor,workplace,59
73,workplace,house,59
74,house,outdoor,45
74,outdoor,restaurant,38
74,restaurant,grocery,30
74,grocery,outdoor,120
74,outdoor,outdoor,45
74,outdoor,outdoor,2
74,outdoor,outdoor,1
74,outdoor,restaurant,15
74,restaurant,restaurant,135
74,restaurant,outdoor,5
74,outdoor,outdoor,60
74,outdoor,outdoor,15
74,outdoor,outdoor,10
74,outdoor,restaurant,60
74,restaurant,outdoor,20
74,outdoor,outdoor,15
74,outdoor,outdoor,150
74,outdoor,outdoor,15
74,outdoor,outdoor,20
74,outdoor,outdoor,30
74,outdoor,house,30
75,house,workplace,925
75,workplace,restaurant,5
75,restaurant,outdoor,105
75,outdoor,house,105
76,house,outdoor,50
76,outdoor,grocery,25
76,grocery,workplace,521
76,workplace,outdoor,60
76,outdoor,outdoor,3
76,outdoor,restaurant,253
76,restaurant,house,253
77,house,outdoor,25
77,outdoor,outdoor,45
77,outdoor,restaurant,60
